# Depth density Vp Vs
3471.0 10.73013 8.92636 0.00000
3571.0 10.85322 9.05019 0.00000
3671.0 10.97092 9.16756 0.00000
3771.0 11.08336 9.27880 0.00000
3871.0 11.19067 9.38422 0.00000
3971.0 11.29298 9.48413 0.00000
4071.0 11.39042 9.57885 0.00000
4149.5 11.46358 9.64977 0.00000
4171.0 11.48311 9.66869 0.00000
4271.0 11.57119 9.75397 0.00000
4371.0 11.65478 9.83500 0.00000
4471.0 11.73401 9.91210 0.00000
4571.0 11.80900 9.98558 0.00000
4671.0 11.87989 10.05576 0.00000
4771.0 11.94681 10.12295 0.00000
4871.0 12.00988 10.18747 0.00000
4971.0 12.06923 10.24963 0.00000
5071.0 12.12499 10.30975 0.00000
5149.5 12.16633 10.35572 0.00000
5149.5 12.76361 11.02826 3.50431
5153.9 12.76595 11.02994 3.50549
5171.0 12.77495 11.03642 3.51002
5271.0 12.82503 11.07249 3.53522
5371.0 12.87076 11.10541 3.55823
5471.0 12.91213 11.13520 3.57905
5571.0 12.94914 11.16186 3.59767
5671.0 12.98181 11.18537 3.61411
5771.0 13.01011 11.20576 3.62835
5871.0 13.03406 11.22300 3.64041
5971.0 13.05366 11.23711 3.65027
6071.0 13.06890 11.24809 3.65794
6171.0 13.07979 11.25593 3.66342
6271.0 13.08632 11.26063 3.66670
6371.0 13.08850 11.26220 3.66780
